223 unlabelled training bactches, 94 labelled batches. Will reuse samples to match batch numbers
Epoch 1, train accuracy:0.00%, batch: 1/223
Epoch 1, train accuracy:11.81%, batch: 171/223
Epoch 1, train accuracy:11.79%, batch: 172/223
Epoch 1, train accuracy:11.78%, batch: 173/223
Epoch 1, train accuracy:11.76%, batch: 174/223
Epoch 1, train accuracy:11.75%, batch: 175/223
Epoch 1, train accuracy:11.74%, batch: 176/223
Epoch 1, train accuracy:11.72%, batch: 177/223
Epoch 1, train accuracy:11.71%, batch: 178/223
Epoch 1, train accuracy:11.70%, batch: 179/223
Epoch 1, train accuracy:11.68%, batch: 180/223
Epoch 1, train accuracy:11.67%, batch: 181/223
Epoch 1, train accuracy:11.66%, batch: 182/223
Epoch 1, train accuracy:11.68%, batch: 183/223
Epoch 1, train accuracy:11.70%, batch: 184/223
Epoch 1, train accuracy:11.72%, batch: 185/223
Epoch 1, train accuracy:11.74%, batch: 186/223
Epoch 1, train accuracy:11.76%, batch: 187/223
Epoch 1, train accuracy:11.79%, batch: 188/223
Epoch 1, train accuracy:11.81%, batch: 189/223
Epoch 1, train accuracy:11.83%, batch: 190/223
Epoch 1, train accuracy:11.85%, batch: 191/223
Epoch 1, train accuracy:11.87%, batch: 192/223
Epoch 1, train accuracy:11.88%, batch: 193/223
Epoch 1, train accuracy:11.90%, batch: 194/223
Epoch 1, train accuracy:11.92%, batch: 195/223
Epoch 1, train accuracy:11.94%, batch: 196/223
Epoch 1, train accuracy:11.96%, batch: 197/223
Epoch 1, train accuracy:11.98%, batch: 198/223
Epoch 1, train accuracy:12.00%, batch: 199/223
Epoch 1, train accuracy:12.02%, batch: 200/223
Epoch 1, train accuracy:12.03%, batch: 201/223
Epoch 1, train accuracy:12.05%, batch: 202/223
Epoch 1, train accuracy:12.07%, batch: 203/223
Epoch 1, train accuracy:12.09%, batch: 204/223
Epoch 1, train accuracy:12.10%, batch: 205/223
Epoch 1, train accuracy:12.12%, batch: 206/223
Epoch 1, train accuracy:12.14%, batch: 207/223
Epoch 1, train accuracy:12.15%, batch: 208/223
Epoch 1, train accuracy:12.17%, batch: 209/223
Epoch 1, train accuracy:12.19%, batch: 210/223
Epoch 1, train accuracy:12.20%, batch: 211/223
Epoch 1, train accuracy:12.22%, batch: 212/223
Epoch 1, train accuracy:12.24%, batch: 213/223
Epoch 1, train accuracy:12.25%, batch: 214/223
Epoch 1, train accuracy:12.27%, batch: 215/223
Epoch 1, train accuracy:12.28%, batch: 216/223
Epoch 1, train accuracy:12.30%, batch: 217/223
Epoch 1, train accuracy:12.31%, batch: 218/223
Epoch 1, train accuracy:12.33%, batch: 219/223
Epoch 1, train accuracy:12.34%, batch: 220/223
Epoch 1, train accuracy:12.36%, batch: 221/223
Epoch 1, train accuracy:12.37%, batch: 222/223
Epoch 1, train accuracy:12.39%, batch: 223/223
Epoch 1, train accuracy:12.39%, validation accuracy:10.01, batch: 223/223
Epoch 2, train accuracy:15.62%, batch: 1/223
Epoch 2, train accuracy:15.62%, batch: 2/223
Epoch 2, train accuracy:15.62%, batch: 3/223
Epoch 2, train accuracy:15.62%, batch: 4/223
Epoch 2, train accuracy:15.62%, batch: 5/223
Epoch 2, train accuracy:14.58%, batch: 6/223
Epoch 2, train accuracy:13.84%, batch: 7/223
Epoch 2, train accuracy:13.28%, batch: 8/223
Epoch 2, train accuracy:12.85%, batch: 9/223
Epoch 2, train accuracy:12.50%, batch: 10/223
Epoch 2, train accuracy:12.22%, batch: 11/223
Epoch 2, train accuracy:11.98%, batch: 12/223
Epoch 2, train accuracy:11.78%, batch: 13/223
Epoch 2, train accuracy:11.61%, batch: 14/223
Epoch 2, train accuracy:11.46%, batch: 15/223
Epoch 2, train accuracy:11.33%, batch: 16/223
Epoch 2, train accuracy:11.21%, batch: 17/223
Epoch 2, train accuracy:11.11%, batch: 18/223
Epoch 2, train accuracy:11.02%, batch: 19/223
Epoch 2, train accuracy:10.94%, batch: 20/223
